,target,y_pred
33385,6,3
23220,4,2
30095,6,2
18992,3,3
31977,6,2
23687,4,0
15818,3,4
5176,1,6
23202,4,0
16694,3,3
9232,2,3
28264,5,5
13968,3,6
15404,3,4
925,0,0
20232,4,4
3726,0,6
22088,4,6
8778,2,2
21858,4,4
16214,3,3
14261,3,4
8978,2,6
21343,4,4
16856,3,3
12688,3,6
28318,5,5
21589,4,3
28040,5,3
8061,2,5
28652,5,6
7014,2,2
22765,4,0
7337,2,5
2919,0,3
5093,1,6
9394,2,4
12751,3,3
2133,0,0
1029,0,4
19322,3,3
19007,3,3
23750,4,4
17509,3,3
10560,2,3
24780,4,5
17775,3,3
5738,2,2
16232,3,4
13947,3,3
19058,3,4
35232,6,2
14034,3,3
10095,2,3
24247,4,3
21827,4,3
33608,6,3
26522,5,2
13547,3,4
8084,2,3
6122,2,3
33676,6,3
31667,6,3
32353,6,6
17311,3,3
29604,5,5
18164,3,4
15921,3,3
21909,4,5
19177,3,3
29962,6,2
32576,6,6
20137,4,4
32640,6,2
31577,6,3
3503,0,3
30279,6,2
35136,6,2
19356,3,4
10588,2,6
19707,4,2
5077,1,3
12129,3,4
9975,2,3
19447,3,3
8679,2,4
4419,0,4
34601,6,0
26684,5,6
31756,6,5
7936,2,3
21848,4,3
3886,0,5
35462,6,4
20724,4,0
28973,5,2
2189,0,6
22636,4,3
34297,6,3
29548,5,5
27913,5,3
23355,4,3
14143,3,3
20897,4,3
35671,6,3
27604,5,5
21043,4,3
21542,4,0
17152,3,3
17271,3,3
28856,5,3
6117,2,2
13851,3,0
21706,4,6
28666,5,5
1891,0,0
31392,6,2
22936,4,3
17550,3,2
12106,3,3
7589,2,5
28232,5,4
9517,2,3
17426,3,2
10614,2,3
15057,3,5
33018,6,2
10338,2,2
2795,0,3
14152,3,3
1818,0,5
20334,4,4
1894,0,3
24671,4,3
6926,2,2
15985,3,3
31481,6,6
8487,2,3
1055,0,0
1774,0,3
13508,3,4
28439,5,3
21363,4,4
5994,2,3
1840,0,0
6121,2,4
35590,6,3
31488,6,0
32560,6,3
18212,3,2
20044,4,4
2445,0,6
13123,3,6
20377,4,3
14917,3,5
6612,2,2
5175,1,2
14837,3,6
27554,5,0
23523,4,6
13050,3,4
21539,4,4
33301,6,3
23571,4,3
7052,2,3
33055,6,6
4204,0,2
30679,6,5
1140,0,0
697,0,4
23109,4,3
9265,2,3
11382,3,0
8301,2,2
17234,3,3
28605,5,3
5762,2,5
33844,6,4
4012,0,3
27099,5,4
3594,0,4
20091,4,6
6601,2,5
1998,0,0
16759,3,6
18586,3,6
6078,2,4
12937,3,6
11344,3,6
23491,4,4
21443,4,6
17743,3,6
12222,3,3
12271,3,4
3799,0,6
29477,5,5
853,0,3
32065,6,2
19731,4,3
33,0,6
12907,3,0
34872,6,3
11033,3,3
3047,0,0
21723,4,2
9718,2,0
16461,3,3
140,0,3
4010,0,3
12236,3,4
21454,4,3
24544,4,6
3423,0,3
18742,3,2
22235,4,2
7946,2,5
9750,2,6
5794,2,3
12973,3,4
35496,6,3
17318,3,4
23350,4,3
14070,3,3
23438,4,3
8260,2,2
35723,6,2
28383,5,5
15569,3,3
30657,6,4
2468,0,3
9364,2,4
28108,5,3
6760,2,6
13913,3,3
14620,3,5
1218,0,4
28816,5,3
30312,6,6
19530,3,0
5142,1,3
14809,3,3
3706,0,3
8089,2,3
29365,5,5
22545,4,4
9508,2,0
2638,0,3
9643,2,3
13476,3,3
24748,4,0
18120,3,3
3230,0,6
2890,0,0
3088,0,6
19096,3,3
14738,3,3
17030,3,3
14793,3,5
20770,4,3
12230,3,0
27605,5,5
463,0,5
31878,6,6
26362,5,5
1956,0,2
29117,5,5
13829,3,2
18976,3,3
6174,2,2
26353,5,3
12288,3,4
34980,6,3
27303,5,2
5033,1,1
19254,3,3
28704,5,5
3608,0,2
23270,4,0
8221,2,6
23418,4,4
34850,6,2
28438,5,5
17380,3,5
20927,4,4
32042,6,3
15076,3,2
21930,4,5
31163,6,2
22555,4,4
5332,1,5
4964,1,2
17571,3,3
24631,4,3
31625,6,3
12996,3,3
21936,4,3
31083,6,2
23950,4,6
21041,4,3
30190,6,4
27909,5,3
10759,3,3
19317,3,6
4454,0,4
32252,6,4
11213,3,6
6996,2,6
35246,6,3
9988,2,4
26432,5,5
7016,2,3
19279,3,4
431,0,2
9631,2,3
24531,4,6
34647,6,2
18115,3,4
16035,3,3
6272,2,6
7490,2,2
21766,4,3
8730,2,4
8782,2,4
28401,5,5
32246,6,2
28048,5,2
2440,0,0
18403,3,3
16308,3,0
18535,3,3
20714,4,2
19088,3,0
18795,3,3
17160,3,0
3224,0,0
5366,1,3
31603,6,6
13011,3,0
12167,3,6
28701,5,4
15266,3,3
32435,6,3
13777,3,2
14957,3,3
12890,3,2
24709,4,6
14334,3,0
11686,3,3
15799,3,4
11610,3,4
11724,3,2
10495,2,3
3087,0,3
27788,5,3
13464,3,4
10380,2,4
9910,2,2
6111,2,3
3345,0,4
31379,6,3
2745,0,5
3005,0,3
28734,5,5
2055,0,0
18943,3,3
5443,1,1
11180,3,5
33082,6,6
8717,2,2
8856,2,3
10299,2,0
19608,3,5
29295,5,3
3075,0,0
8779,2,6
11137,3,3
12384,3,3
9584,2,2
15942,3,6
12264,3,3
24065,4,3
11768,3,3
3145,0,4
28647,5,5
1489,0,3
28722,5,5
20431,4,3
17683,3,3
975,0,3
26763,5,3
29799,6,6
13719,3,4
7706,2,3
28886,5,3
3377,0,5
7326,2,4
11591,3,3
13767,3,3
4028,0,3
