index,name,pixel,emotion
4,face_4.jpg,data/output/csv/Cropped Arrays/face_4.jpg_4.npy,6
7,face_7.jpg,data/output/csv/Cropped Arrays/face_7.jpg_7.npy,3
8,face_8.jpg,data/output/csv/Cropped Arrays/face_8.jpg_8.npy,3
14,face_14.jpg,data/output/csv/Cropped Arrays/face_14.jpg_14.npy,3
15,face_15.jpg,data/output/csv/Cropped Arrays/face_15.jpg_15.npy,5
21,face_21.jpg,data/output/csv/Cropped Arrays/face_21.jpg_21.npy,2
27,face_27.jpg,data/output/csv/Cropped Arrays/face_27.jpg_27.npy,0
30,face_30.jpg,data/output/csv/Cropped Arrays/face_30.jpg_30.npy,3
33,face_33.jpg,data/output/csv/Cropped Arrays/face_33.jpg_33.npy,2
36,face_36.jpg,data/output/csv/Cropped Arrays/face_36.jpg_36.npy,6
39,face_39.jpg,data/output/csv/Cropped Arrays/face_39.jpg_39.npy,5
40,face_40.jpg,data/output/csv/Cropped Arrays/face_40.jpg_40.npy,0
41,face_41.jpg,data/output/csv/Cropped Arrays/face_41.jpg_41.npy,3
46,face_46.jpg,data/output/csv/Cropped Arrays/face_46.jpg_46.npy,3
51,face_51.jpg,data/output/csv/Cropped Arrays/face_51.jpg_51.npy,5
53,face_53.jpg,data/output/csv/Cropped Arrays/face_53.jpg_53.npy,6
58,face_58.jpg,data/output/csv/Cropped Arrays/face_58.jpg_58.npy,4
62,face_62.jpg,data/output/csv/Cropped Arrays/face_62.jpg_62.npy,3
63,face_63.jpg,data/output/csv/Cropped Arrays/face_63.jpg_63.npy,4
69,face_69.jpg,data/output/csv/Cropped Arrays/face_69.jpg_69.npy,5
71,face_71.jpg,data/output/csv/Cropped Arrays/face_71.jpg_71.npy,2
76,face_76.jpg,data/output/csv/Cropped Arrays/face_76.jpg_76.npy,0
82,face_82.jpg,data/output/csv/Cropped Arrays/face_82.jpg_82.npy,3
87,face_87.jpg,data/output/csv/Cropped Arrays/face_87.jpg_87.npy,4
91,face_91.jpg,data/output/csv/Cropped Arrays/face_91.jpg_91.npy,0
93,face_93.jpg,data/output/csv/Cropped Arrays/face_93.jpg_93.npy,0
96,face_96.jpg,data/output/csv/Cropped Arrays/face_96.jpg_96.npy,2
98,face_98.jpg,data/output/csv/Cropped Arrays/face_98.jpg_98.npy,4
104,face_104.jpg,data/output/csv/Cropped Arrays/face_104.jpg_104.npy,4
106,face_106.jpg,data/output/csv/Cropped Arrays/face_106.jpg_106.npy,2
112,face_112.jpg,data/output/csv/Cropped Arrays/face_112.jpg_112.npy,6
116,face_116.jpg,data/output/csv/Cropped Arrays/face_116.jpg_116.npy,4
119,face_119.jpg,data/output/csv/Cropped Arrays/face_119.jpg_119.npy,3
132,face_132.jpg,data/output/csv/Cropped Arrays/face_132.jpg_132.npy,5
133,face_133.jpg,data/output/csv/Cropped Arrays/face_133.jpg_133.npy,3
136,face_136.jpg,data/output/csv/Cropped Arrays/face_136.jpg_136.npy,6
141,face_141.jpg,data/output/csv/Cropped Arrays/face_141.jpg_141.npy,3
143,face_143.jpg,data/output/csv/Cropped Arrays/face_143.jpg_143.npy,3
