,target,y_pred
14761,3,3
8415,2,2
4453,0,3
12788,3,3
18336,3,4
34284,6,6
17672,3,6
24343,4,4
34646,6,4
15173,3,3
32736,6,4
16119,3,3
4405,0,0
14904,3,6
4361,0,0
4688,0,3
3132,0,0
15938,3,4
27248,5,2
28587,5,5
34199,6,4
13360,3,3
12095,3,3
11716,3,6
13314,3,3
2696,0,4
11757,3,0
8373,2,6
6597,2,2
11590,3,6
21084,4,4
21712,4,4
28583,5,3
22505,4,0
26840,5,3
11867,3,4
34832,6,3
14,0,6
10039,2,5
28079,5,5
4588,0,2
17954,3,3
28152,5,0
11936,3,0
13857,3,3
9783,2,4
544,0,3
30760,6,4
19586,3,5
22183,4,6
10532,2,3
3696,0,6
18502,3,2
33190,6,3
32145,6,4
20331,4,3
35098,6,5
20833,4,2
33002,6,5
31823,6,6
9170,2,2
23241,4,3
27273,5,3
14799,3,3
11538,3,3
5173,1,2
35671,6,3
31381,6,6
5079,1,0
12312,3,3
30646,6,3
9602,2,3
14074,3,4
20692,4,4
17601,3,3
28115,5,2
21018,4,4
10909,3,6
11557,3,3
19788,4,4
24521,4,0
13054,3,5
3932,0,4
14371,3,6
2871,0,2
17761,3,5
32580,6,6
5447,1,3
4830,0,3
23470,4,4
14267,3,3
10264,2,3
18425,3,3
17154,3,6
20263,4,4
5637,2,3
5282,1,1
21502,4,4
17090,3,2
20407,4,4
34687,6,3
18169,3,4
9919,2,4
16156,3,4
21376,4,5
28388,5,5
10697,3,4
15805,3,6
18120,3,2
14323,3,6
23071,4,3
25537,4,3
5834,2,2
9447,2,0
33061,6,3
21770,4,0
5046,1,2
16970,3,6
7862,2,3
22718,4,3
17224,3,5
31760,6,4
14251,3,3
20878,4,3
12771,3,2
4969,1,1
34644,6,3
30088,6,4
22671,4,4
23424,4,6
15073,3,3
30618,6,4
19164,3,1
22917,4,4
22872,4,4
14957,3,3
2317,0,6
21263,4,3
4330,0,4
18888,3,3
1294,0,2
20482,4,4
4093,0,3
30454,6,4
21661,4,3
23836,4,4
647,0,5
20054,4,3
28059,5,5
15462,3,3
25879,5,5
23888,4,4
25202,4,3
3777,0,6
24572,4,4
32386,6,3
17756,3,2
2043,0,6
12650,3,4
33830,6,6
11253,3,3
7195,2,3
15892,3,3
22269,4,4
35045,6,2
31259,6,3
25024,4,3
8189,2,3
20124,4,6
17771,3,3
4115,0,0
13480,3,6
10408,2,4
22236,4,0
14784,3,3
19421,3,5
14237,3,6
2469,0,6
13373,3,3
7550,2,3
13983,3,2
35399,6,6
29384,5,5
21735,4,6
28474,5,5
23766,4,0
30164,6,4
18011,3,6
13497,3,2
6375,2,6
2269,0,6
33212,6,6
31954,6,3
30034,6,3
10955,3,4
18310,3,6
14729,3,3
24519,4,4
34740,6,0
26096,5,5
1534,0,3
6094,2,6
14361,3,4
22874,4,3
11189,3,6
35436,6,3
24478,4,2
33732,6,4
12066,3,3
5266,1,4
1631,0,5
19528,3,3
30821,6,6
17580,3,4
6797,2,2
32261,6,3
25211,4,4
23566,4,2
27418,5,4
15208,3,4
176,0,3
35445,6,3
31317,6,6
27334,5,3
11816,3,4
31845,6,3
25900,5,5
8278,2,3
11029,3,3
19961,4,4
21967,4,6
27108,5,3
5556,2,6
9816,2,2
20031,4,4
34088,6,5
3486,0,3
2583,0,0
18479,3,3
9686,2,5
8479,2,3
983,0,6
5294,1,3
13736,3,3
28302,5,6
3281,0,3
4378,0,2
23940,4,2
19641,4,3
4550,0,6
24074,4,2
8975,2,2
25085,4,6
27214,5,4
8989,2,2
27977,5,5
3953,0,5
28040,5,2
32037,6,4
32492,6,2
10364,2,5
32390,6,3
7504,2,2
18841,3,3
25957,5,4
33728,6,6
1747,0,3
30435,6,4
28123,5,5
7867,2,5
25246,4,5
25485,4,3
5615,2,2
28726,5,6
19092,3,2
6476,2,3
35608,6,3
26701,5,3
10365,2,2
28236,5,2
4964,1,2
32225,6,3
5141,1,3
15673,3,0
28967,5,3
20201,4,3
29302,5,5
3147,0,3
33671,6,2
1164,0,6
16331,3,3
11743,3,6
34391,6,5
15667,3,3
30139,6,3
29615,5,5
3416,0,6
23020,4,3
6489,2,3
11807,3,3
12779,3,5
26466,5,2
17970,3,3
17290,3,4
9939,2,2
10144,2,3
14719,3,3
15423,3,3
13633,3,3
6302,2,4
3924,0,6
20456,4,6
26150,5,6
2874,0,2
1798,0,3
32871,6,4
70,0,2
9552,2,3
21216,4,4
33605,6,4
21217,4,4
1969,0,6
12237,3,3
1557,0,6
5111,1,3
7043,2,3
147,0,0
24946,4,3
19739,4,0
15034,3,4
310,0,3
14229,3,0
19772,4,3
18822,3,3
18247,3,6
7327,2,4
8457,2,3
17637,3,0
23295,4,4
21351,4,5
